"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
11216,"Spanish Fiesta","La fête espagnole","Drama",67,2019,"en",6
69049,"The Other Side of the Wind","The Other Side of the Wind","Drama",122,2018,"en",7
328810,"My Land","Aamaar Bhuvan","Drama",102,2018,"en",8
328810,"My Land","Aamaar Bhuvan","Family",102,2018,"en",8
360556,"Fahrenheit 451","Fahrenheit 451","Drama",100,2018,"en",5
360556,"Fahrenheit 451","Fahrenheit 451","Thriller",100,2018,"en",5
360556,"Fahrenheit 451","Fahrenheit 451","Sci",100,2018,"en",5
360556,"Fahrenheit 451","Fahrenheit 451","Fi",100,2018,"en",5
365545,"Nappily Ever After","Nappily Ever After","Drama",98,2018,"en",6
365545,"Nappily Ever After","Nappily Ever After","Comedy",98,2018,"en",6
365545,"Nappily Ever After","Nappily Ever After","Romance",98,2018,"en",6
385887,"Motherless Brooklyn","Motherless Brooklyn","Drama",144,2019,"en",7
385887,"Motherless Brooklyn","Motherless Brooklyn","Mystery",144,2019,"en",7
385887,"Motherless Brooklyn","Motherless Brooklyn","Crime",144,2019,"en",7
427543,"A Million Little Pieces","A Million Little Pieces","Drama",113,2018,"en",6
437086,"Alita: Battle Angel","Alita: Battle Angel","Adventure",122,2019,"en",7
437086,"Alita: Battle Angel","Alita: Battle Angel","Action",122,2019,"en",7
437086,"Alita: Battle Angel","Alita: Battle Angel","Sci",122,2019,"en",7
437086,"Alita: Battle Angel","Alita: Battle Angel","Fi",122,2019,"en",7
448115,"Shazam!","Shazam!","Comedy",132,2019,"en",7
448115,"Shazam!","Shazam!","Adventure",132,2019,"en",7
448115,"Shazam!","Shazam!","Action",132,2019,"en",7
783640,"The Last Full Measure","The Last Full Measure","Drama",116,2019,"en",7
783640,"The Last Full Measure","The Last Full Measure","War",116,2019,"en",7
800325,"The Dirt","The Dirt","Drama",107,2018,"en",7
800325,"The Dirt","The Dirt","Comedy",107,2018,"en",7
800325,"The Dirt","The Dirt","Biography",107,2018,"en",7
805647,"The Witches","The Witches","Comedy",106,2020,"en",5
